"","method","ismse","isr2","oosmse","oosse","oosr2","oosr2ci1","oosr2ci2","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"1","OLS",0.589013387263508,0.472587169499072,0.674350599264849,0.0252069874348221,0.417387330376315,0.39906766198309,0.43840556767484,2.18017765866782,0.246890829956076,0.203226136538811,0.203469675582303,0.514742799805469,2.18017765866782,0.246890829956076,0.203226136538811,0.203469675582303,0.514742799805469,2.18017765866782,0.246890829956076,0.203226136538811,0.203469675582303,0.514742799805469
"2","Tree",0.674949453283124,0.395638521469034,0.757796040588223,0.0262651771181635,0.345293717068436,0.325212981089719,0.364899028081443,-0.115109726654037,0.107844344604364,0.0637330992406513,-0.145886672146411,-0.31790781046871,0.250959654346492,-0.0266257797454404,-0.0129522315283222,0.029683513853412,0.16364075644069,2.43113731301431,0.220265050210636,0.190273905010489,0.233153189435715,0.678383556246159
"3","Lasso",0.60322469316915,0.459862119042016,0.655781589413532,0.0247713117121613,0.433430232115468,0.415402505825981,0.452994776291329,0.0133620931100312,0.118955065272997,0.131394439886795,0.100917690936956,-0.0194652126527512,-0.0291317368715291,-0.0293689147927295,-0.0267027843808745,-0.0205336898354576,0.010019578059686,2.15104592179629,0.217521915163347,0.176523352157937,0.182935985746846,0.524762377865155
"4","Forest",0.166363651188052,0.851035093492185,0.632347172955561,0.02477588855199,0.453676655783714,0.435173684059937,0.473897955051926,0.0312081841795004,0.238398721647884,0.265350965987562,0.174556279056034,-0.00508275999613899,-0.0680393859157373,-0.0588584582481136,-0.0539262516444938,-0.0355169094703852,0.00261631411115182,2.11213827275208,0.188032371707963,0.149299884894317,0.167952766111918,0.51735911391662
"5","Ensemble",0.215611176598674,0.806938002774683,0.625202313293879,0.024638428387599,0.459849536427873,0.440746591922339,0.480574078410353,0.0457120863479386,0.162746840047731,0.183739374578078,0.147518420456933,0.0739535293950813,-0.0996604693868699,-0.0401807024121131,-0.0373406432255602,-0.030015525152786,-0.0380670467763202,2.08051718928095,0.206710127543963,0.165885493313251,0.173454150429517,0.476675753029148
"6","TreeFull",0.607880977498752,0.455692801075744,0.695745026267582,0.024957543525052,0.398903378193698,0.381549342477523,0.417949335540429,-0.0118657840048734,0.0444543667174157,-0.00576382172353171,-0.0802243608678568,-0.134375304917619,0.025869517190003,-0.0109753754940345,0.00117135922057182,0.0163232246795804,0.0691687206780086,2.20604717585782,0.235915454462042,0.204397495759383,0.219792900261884,0.583911520483477
"7","TreeNaive",0.720451700303675,0.354895018156222,0.758906599758876,0.0256534579472154,0.344334237171932,0.328792404329529,0.361760449811804,-0.101834313163058,0.0277162841328,0.0525026481530667,-0.108051828242327,-0.354525446693667,0.222016894443882,-0.00684289639284541,-0.0106699103422043,0.0219852704385411,0.182489421033382,2.4021945531117,0.240047933563231,0.192556226196607,0.225454946020844,0.697232220838851
"8","BoostedTree",0.533273045360171,0.522498041020871,0.650135884310731,0.0247842083606513,0.43830790157322,0.420614753918158,0.458518198487466,0.0149433721977507,0.187511725226425,0.179542771854896,0.129459276292114,-0.0315773834881774,-0.032579206210694,-0.0462949254676477,-0.0364877838675397,-0.0263410369482762,0.0162542307872354,2.14759845245713,0.200595904488429,0.166738352671272,0.177128638634027,0.530997030592704
"9","ElNet",0.60713612470435,0.456359755221604,0.656308169462057,0.0247894558587865,0.432975287449924,0.415271454753132,0.452661014833528,0.0113774167179588,0.136357593516752,0.153281651662293,0.112576910188128,-0.0359355030964706,-0.0248047897418475,-0.0336654394341643,-0.0311508378696157,-0.0229059873940365,0.0184975414762953,2.15537286892597,0.213225390521912,0.172075298669196,0.180563688188267,0.533240341281764
